product_id,product_name,category,supplier_name,warehouse_location,cost_price,selling_price,supplier_lead_time_days,is_active
1,Gaming Laptop G5,Electronics,Global Imports,Abuja Warehouse,407.49,772.96,8,1
2,Home Security Camera,Sports,Global Imports,Abuja Warehouse,412.11,689.33,3,1
3,Power Bank 20000mAh,Beauty,Prime Wholesale,Port Harcourt Warehouse,316.71,455.48,7,1
4,Office Chair Ergonomic,Sports,Elite Merchants,Port Harcourt Warehouse,412.01,701.58,11,1
5,Air Fryer 6L,Beauty,TechSource Ltd,Port Harcourt Warehouse,329.23,604.61,14,1
6,Gaming Laptop G5,Beauty,Prime Wholesale,Abuja Warehouse,-50.0,207.99,16,1
7,Tablet 10inch,Home,Global Imports,Abuja Warehouse,144.24,172.14,4,1
8,Office Chair Ergonomic,Beauty,TechSource Ltd,Port Harcourt Warehouse,115.15,166.49,19,1
9,Office Chair Ergonomic,Sports,Prime Wholesale,Port Harcourt Warehouse,194.86,239.69,16,1
10,Women's Handbag Classic,Beauty,Elite Merchants,Abuja Warehouse,29.09,40.78,15,1
11,Air Fryer 6L,Home,Prime Wholesale,Port Harcourt Warehouse,312.94,399.71,11,1
12,Men's Running Sneakers,Home,Elite Merchants,Lagos Warehouse,174.91,286.0,17,1
13,4K Smart TV 55inch,Sports,Global Imports,Abuja Warehouse,331.3,477.47,17,0
14,Electric Kettle 1.7L,Fashion,Elite Merchants,Port Harcourt Warehouse,198.84,262.88,13,0
15,Bluetooth Speaker Pro,Fashion,TechSource Ltd,Abuja Warehouse,343.99,464.2,18,1
16,4K Smart TV 55inch,Beauty,Global Imports,Lagos Warehouse,176.91,251.26,19,1
17,Wireless Earbuds X200,Electronics,TechSource Ltd,Abuja Warehouse,137.74,185.26,6,0
18,Electric Kettle 1.7L,Beauty,Urban Retail Supply,Abuja Warehouse,253.06,377.04,3,1
19,Electric Kettle 1.7L,Sports,Naija Distributors,Abuja Warehouse,349.52,410.42,10,1
20,Wrist Watch Chronograph,Sports,Elite Merchants,Abuja Warehouse,180.68,245.69,19,1
21,Smartphone 128GB,Sports,Naija Distributors,Lagos Warehouse,468.96,683.93,5,1
22,LED Desk Lamp,Sports,Naija Distributors,Abuja Warehouse,29.2,46.78,17,1
23,Power Bank 20000mAh,Sports,Elite Merchants,Abuja Warehouse,214.79,290.66,17,1
24,Power Bank 20000mAh,Home,Global Imports,Port Harcourt Warehouse,484.11,605.08,16,1
25,Tablet 10inch,Fashion,Urban Retail Supply,Abuja Warehouse,278.51,336.2,16,1
26,Electric Kettle 1.7L,Sports,TechSource Ltd,Port Harcourt Warehouse,217.5,403.55,4,1
27,Home Security Camera,Electronics,Prime Wholesale,Lagos Warehouse,288.57,422.03,15,1
28,Men's Running Sneakers,Electronics,TechSource Ltd,Lagos Warehouse,292.2,463.39,16,0
29,Stainless Steel Cookware Set,Electronics,Prime Wholesale,Lagos Warehouse,368.51,677.83,9,1
30,Tablet 10inch,Electronics,TechSource Ltd,Lagos Warehouse,72.57,87.96,5,1
31,Gaming Laptop G5,Home,Elite Merchants,Port Harcourt Warehouse,132.51,239.51,17,1
32,Yoga Mat Premium,Electronics,Urban Retail Supply,Abuja Warehouse,294.47,460.46,16,1
33,Gaming Laptop G5,Sports,Prime Wholesale,Lagos Warehouse,434.89,553.89,13,1
34,Microwave Oven 20L,Beauty,Global Imports,Abuja Warehouse,285.31,416.11,17,1
35,Women's Handbag Classic,Electronics,TechSource Ltd,Port Harcourt Warehouse,126.91,219.96,15,1
36,Hair Dryer Professional,Home,TechSource Ltd,Port Harcourt Warehouse,343.12,518.21,20,1
37,Microwave Oven 20L,Home,Prime Wholesale,Port Harcourt Warehouse,372.56,703.75,8,1
38,Yoga Mat Premium,Electronics,Global Imports,Lagos Warehouse,126.74,181.56,5,1
39,4K Smart TV 55inch,Beauty,Global Imports,Abuja Warehouse,195.09,334.03,17,1
40,Home Security Camera,Electronics,Elite Merchants,Abuja Warehouse,271.82,392.71,7,1
41,Power Bank 20000mAh,Home,Elite Merchants,Abuja Warehouse,253.31,448.83,12,1
42,Gaming Laptop G5,Fashion,Elite Merchants,Port Harcourt Warehouse,200.91,316.8,9,1
43,Electric Kettle 1.7L,Sports,Elite Merchants,Lagos Warehouse,155.84,186.64,19,1
